point,numerical_iteration,numerical_gross_mass_kg,numerical_battery_mass_kg,numerical_structure_mass_kg,numerical_propulsion_mass_kg,numerical_total_disk_area_m2,numerical_ideal_induced_power_w,numerical_propulsion_hover_power_w,numerical_total_hover_power_w,numerical_required_nominal_battery_energy_wh,numerical_installed_nominal_battery_energy_wh,numerical_energy_limited_battery_mass_kg,numerical_power_limited_battery_mass_kg,numerical_relative_mass_change
light_short,1.0,4.90483422,1.67002959,1.02696307,0.65997864,0.81722083,242.65165789,542.02514421,594.19905725,275.09215614,320.84107544,1.43189908,1.67002959,0.01940245
light_short,2.0,4.83216957,1.63951254,1.01578699,0.64741717,0.80166654,238.03323083,531.70869465,583.88260769,270.31602208,314.97822981,1.40703853,1.63951254,0.01503768
light_short,3.0,4.77668587,1.61621098,1.00725339,0.63782574,0.78978993,234.50679169,523.8314821,576.00539514,266.66916442,310.50160431,1.38805605,1.61621098,0.01161552
light_short,4.0,4.73432082,1.59841887,1.0007375,0.63050213,0.78072144,231.81414918,517.81676966,569.99068271,263.88457533,307.08343895,1.37356182,1.59841887,0.0089485
light_short,5.0,4.70197262,1.58483356,0.99576223,0.62491013,0.77379712,229.75815916,513.22418498,565.39809802,261.75837871,304.4734698,1.36249462,1.58483356,0.00687971
light_short,6.0,4.67727289,1.57446038,0.99196332,0.6206403,0.76851,228.18829054,509.71747799,561.89139104,260.13490326,302.48060572,1.35404417,1.57446038,0.0052808
light_short,7.0,4.65841319,1.56653986,0.98906263,0.61738004,0.76447297,226.98960405,507.03990214,559.21381519,258.89528481,300.95893746,1.34759175,1.56653986,0.00404852
light_short,8.0,4.64401271,1.56049207,0.98684779,0.61489064,0.76139046,226.07433681,504.9954164,557.16932944,257.94876363,299.79705475,1.34266496,1.56049207,0.00310087
light_short,9.0,4.6330171,1.55587423,0.98515663,0.61298984,0.75903679,225.37547675,503.43433197,555.60824501,257.22603936,298.90988936,1.33890306,1.55587423,0.00237331
light_short,10.0,4.62462131,1.55234824,0.98386532,0.61153847,0.75723962,224.84185623,502.24235271,554.41626576,256.67419711,298.2324867,1.33603063,1.55234824,0.00181545
light_short,11.0,4.61821064,1.54965594,0.98287934,0.61043026,0.75586738,224.43440575,501.33220685,553.50611989,256.25283328,297.71525016,1.33383737,1.54965594,0.00138813
light_short,12.0,4.61331571,1.54760021,0.98212648,0.60958408,0.75481959,224.12329348,500.63725725,552.81117029,255.93109736,297.32030981,1.33216268,1.54760021,0.00106104
light_short,13.0,4.60957815,1.54603054,0.98155163,0.60893797,0.75401954,223.88574107,500.10662259,552.28053564,255.68543317,297.01874976,1.33088396,1.54603054,0.00081083
light_short,14.0,4.6067243,1.54483201,0.9811127,0.60844463,0.75340866,223.70435592,499.701452,551.87536505,255.49785419,296.78849102,1.32990758,1.54483201,0.0006195
light_short,15.0,4.60454522,1.54391686,0.98077755,0.60806793,0.75294221,223.56585774,499.39208056,551.56599361,255.35462667,296.61267501,1.32916206,1.54391686,0.00047325
light_short,16.0,4.60288137,1.54321809,0.98052164,0.6077803,0.75258606,223.46010629,499.15585738,551.32977042,255.24526408,296.4784292,1.32859281,1.54321809,0.00036148
light_short,17.0,4.60161091,1.54268453,0.98032624,0.60756068,0.75231411,223.37935887,498.97548716,551.1494002,255.16175935,296.37592468,1.32815815,1.54268453,0.00027609
light_short,18.0,4.60064085,1.54227714,0.98017704,0.60739298,0.75210646,223.31770349,498.83776395,551.01167699,255.09799861,296.29765648,1.32782627,1.54227714,0.00021085
light_short,19.0,4.59990015,1.54196606,0.98006312,0.60726494,0.75194791,223.270626,498.73260422,550.90651727,255.04931355,296.23789414,1.32757285,1.54196606,0.00016103
light_short,20.0,4.59933458,1.54172854,0.97997613,0.60716717,0.75182685,223.23467959,498.65230863,550.82622167,255.01213966,296.19226209,1.32737936,1.54172854,0.00012297
light_short,21.0,4.59890274,1.54154718,0.97990972,0.60709252,0.75173441,223.2072324,498.59099824,550.76491128,254.98375522,296.15741936,1.32723161,1.54154718,9.39e-05
light_short,22.0,4.598573,1.5414087,0.979859,0.60703552,0.75166383,223.18627486,498.54418417,550.71809722,254.96208205,296.13081489,1.3271188,1.5414087,7.17e-05
light_short,23.0,4.59832123,1.54130296,0.97982028,0.60699199,0.75160993,223.17027256,498.5084389,550.68235194,254.94553331,296.11050082,1.32703266,1.54130296,5.475e-05
light_short,24.0,4.59812898,1.54122222,0.97979071,0.60695876,0.75156878,223.15805387,498.48114529,550.65505833,254.93289738,296.09498985,1.32696689,1.54122222,4.181e-05
light_short,25.0,4.59798219,1.54116058,0.97976813,0.60693338,0.75153736,223.14872418,498.46030502,550.63421807,254.92324911,296.08314631,1.32691667,1.54116058,3.192e-05
light_short,26.0,4.59787011,1.5411135,0.97975089,0.60691401,0.75151337,223.14160042,498.44439226,550.6183053,254.91588209,296.07410307,1.32687832,1.5411135,2.438e-05
light_short,27.0,4.59778453,1.54107756,0.97973773,0.60689921,0.75149505,223.13616101,498.43224194,550.60615498,254.91025694,296.06719804,1.32684904,1.54107756,1.861e-05
light_short,28.0,4.59771918,1.54105012,0.97972768,0.60688792,0.75148106,223.1320077,498.42296445,550.5968775,254.9059618,296.06192564,1.32682668,1.54105012,1.421e-05
light_short,29.0,4.59766929,1.54102916,0.97972001,0.60687929,0.75147038,223.12883641,498.41588055,550.5897936,254.90268222,296.05789985,1.32680961,1.54102916,1.085e-05
light_short,30.0,4.59763119,1.54101316,0.97971415,0.60687271,0.75146223,223.12641494,498.41047158,550.58438462,254.90017807,296.05482593,1.32679658,1.54101316,8.29e-06
light_short,31.0,4.5976021,1.54100095,0.97970967,0.60686768,0.751456,223.12456601,498.40634151,550.58025456,254.898266,296.05247881,1.32678662,1.54100095,6.33e-06
light_short,32.0,4.59757989,1.54099162,0.97970626,0.60686384,0.75145124,223.12315424,498.40318797,550.57710101,254.89680602,296.05068664,1.32677903,1.54099162,4.83e-06
light_short,33.0,4.59756292,1.54098449,0.97970365,0.60686091,0.75144761,223.12207628,498.40078005,550.57469309,254.89569125,296.04931822,1.32677322,1.54098449,3.69e-06
light_short,34.0,4.59754997,1.54097906,0.97970166,0.60685867,0.75144484,223.12125319,498.39894146,550.5728545,254.89484005,296.04827335,1.32676879,1.54097906,2.82e-06
light_short,35.0,4.59754009,1.5409749,0.97970013,0.60685696,0.75144272,223.12062471,498.39753759,550.57145064,254.89419011,296.04747553,1.32676541,1.5409749,2.15e-06
light_short,36.0,4.59753254,1.54097173,0.97969897,0.60685565,0.75144111,223.12014483,498.39646566,550.5703787,254.89369384,296.04686635,1.32676283,1.54097173,1.64e-06
light_short,37.0,4.59752677,1.54096931,0.97969809,0.60685466,0.75143987,223.11977841,498.39564717,550.56956022,254.89331491,296.0464012,1.32676085,1.54096931,1.25e-06
light_short,38.0,4.59752237,1.54096746,0.97969741,0.6068539,0.75143893,223.11949863,498.39502221,550.56893525,254.89302558,296.04604604,1.32675935,1.54096746,9.6e-07
light_short,39.0,4.59751901,1.54096605,0.97969689,0.60685331,0.75143821,223.119285,498.39454502,550.56845806,254.89280466,296.04577485,1.3267582,1.54096605,7.3e-07
light_short,40.0,4.59751644,1.54096497,0.9796965,0.60685287,0.75143766,223.11912188,498.39418065,550.56809369,254.89263597,296.04556778,1.32675732,1.54096497,5.6e-07
light_short,41.0,4.59751448,1.54096415,0.9796962,0.60685253,0.75143724,223.11899733,498.39390244,550.56781548,254.89250717,296.04540967,1.32675665,1.54096415,4.3e-07
light_short,42.0,4.59751299,1.54096352,0.97969597,0.60685227,0.75143692,223.11890223,498.39369,550.56760305,254.89240882,296.04528894,1.32675614,1.54096352,3.3e-07
light_short,43.0,4.59751184,1.54096304,0.97969579,0.60685208,0.75143668,223.11882962,498.3935278,550.56744084,254.89233372,296.04519676,1.32675575,1.54096304,2.5e-07
light_short,44.0,4.59751097,1.54096268,0.97969566,0.60685192,0.75143649,223.11877417,498.39340394,550.56731699,254.89227638,296.04512638,1.32675545,1.54096268,1.9e-07
light_short,45.0,4.5975103,1.5409624,0.97969555,0.60685181,0.75143635,223.11873184,498.39330937,550.56722242,254.8922326,296.04507263,1.32675522,1.5409624,1.4e-07
light_short,46.0,4.5975098,1.54096218,0.97969548,0.60685172,0.75143624,223.11869951,498.39323717,550.56715021,254.89219917,296.0450316,1.32675505,1.54096218,1.1e-07
light_short,47.0,4.59750941,1.54096202,0.97969542,0.60685165,0.75143616,223.11867483,498.39318203,550.56709507,254.89217364,296.04500026,1.32675491,1.54096202,8e-08
middle,1.0,5.66159706,2.24607404,1.23685107,0.65997864,0.81722083,242.65165789,542.02514421,621.3729703,431.50900715,431.50900715,2.24607404,1.70475182,0.11685697
middle,2.0,6.19732752,2.50532162,1.32302419,0.74730663,0.92535501,274.75918279,613.74559306,693.09341914,481.31487441,481.31487441,2.50532162,1.91690786,0.0864454
middle,3.0,6.63113707,2.71524823,1.39280316,0.81802076,1.01291703,300.75835952,671.82146872,751.16929481,521.64534362,521.64534362,2.71524823,2.08870193,0.06542008
middle,4.0,6.98241581,2.885237,1.44930693,0.87528177,1.08382067,321.81128068,718.84860518,798.19643127,554.30307727,554.30307727,2.885237,2.22781276,0.05030906
