case,payload_mass_kg,payload_power_w,endurance_min,conditional_class,model_state,owner_requirement_class,converged,iterations,gross_mass_kg,battery_mass_kg,battery_mass_fraction,total_hover_power_w,required_nominal_battery_energy_wh,installed_nominal_battery_energy_wh,battery_sizing_driver,achievable_endurance_min,equivalent_rotor_diameter_m,battery_discharge_margin,platform_cost_usd,feasibility_burden
favorable,0.25,0.0,10.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,28,1.15555,0.090278,0.078125,83.751511,16.325831,19.861145,power,12.165473,0.300296,1.15,521.84,0.956522
favorable,0.25,0.0,20.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,30,1.236071,0.156906,0.12694,88.542204,34.519378,34.519378,energy,20.0,0.310583,1.88155,528.58,0.584624
favorable,0.25,0.0,30.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,33,1.353283,0.253897,0.187615,95.515997,55.857308,55.857308,energy,30.0,0.324975,2.805192,538.39,0.416923
favorable,0.25,0.0,45.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,37,1.568361,0.431868,0.275362,108.312406,95.010883,95.010883,energy,45.0,0.349847,4.169818,556.39,0.611917
favorable,0.25,0.0,60.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,43,1.849982,0.664901,0.35941,125.06793,146.27828,146.27828,energy,60.0,0.379961,5.510036,579.97,0.798688
favorable,0.25,50.0,10.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,28,1.199017,0.126246,0.105291,137.884052,26.877983,27.774065,power,10.333389,0.305892,1.15,525.48,0.956522
favorable,0.25,50.0,20.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,30,1.362581,0.261591,0.191982,147.615583,57.549935,57.549935,energy,20.0,0.326089,2.185182,539.17,0.50339
favorable,0.25,50.0,30.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,32,1.557996,0.423291,0.271689,159.242134,93.124055,93.124055,energy,30.0,0.348689,3.21705,555.53,0.603754
favorable,0.25,50.0,45.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,37,1.916568,0.72,0.375671,180.576022,158.400019,158.400019,energy,45.0,0.386739,4.695105,585.54,0.834826
favorable,0.25,50.0,60.0,MARGINAL,FINITE_CLOSURE,UNDETERMINED,True,42,2.38608,1.108509,0.464573,208.510456,243.871878,243.871878,energy,60.0,0.431517,6.095339,624.84,1.032385
favorable,0.25,100.0,10.0,FEASIBLE,FINITE_CLOSURE,UNDETERMINED,True,28,1.252711,0.170676,0.136245,192.625064,37.548745,37.548745,energy,10.0,0.312666,1.204691,529.97,0.913097
