variable,overall_score,rho_gross_mass,rho_platform_cost,rho_feasibility_burden
endurance_min,0.575764,0.605316,0.584445,0.535285
battery_specific_power_w_kg,0.221941,-0.237311,-0.223748,-0.203454
payload_mass_kg,0.203667,0.237037,0.193229,0.175833
analysis_cost_boundary_usd,0.138571,0.007883,0.009959,-0.239675
rotor_figure_of_merit,0.125221,-0.108039,-0.155182,-0.106239
disk_loading_n_m2,0.124429,0.099101,0.158126,0.10781
analysis_portability_mass_kg,0.120164,0.012413,0.011785,-0.207425
structure_load_fraction,0.102736,0.106531,0.112217,0.087877
environment_power_margin,0.095004,0.086663,0.113234,0.082126
structure_base_mass_kg,0.079327,0.086588,0.078792,0.071921
motor_controller_efficiency,0.074394,-0.06829,-0.085046,-0.068608
propulsion_specific_power_w_kg,0.071013,-0.085182,-0.065916,-0.059394
payload_power_w,0.057475,0.058574,0.05689,0.056944
battery_cost_usd_per_wh,0.057388,-0.024974,0.095439,0.012165
battery_specific_energy_wh_kg,0.039353,-0.059413,-0.007879,-0.032466
battery_power_margin_ratio,0.022655,0.024993,0.022254,0.020491
reserve_fraction,0.02145,0.023646,0.021634,0.018793
